tmfc_d,tmfc_h,pm10,co2,hcho,tab,co,pm25,no2,rn,voc,pm25_2,mold
2019-07-12,10,45.5,803,23.2,,0.6,,0.008,38,33.8,,
2019-07-12,11,52.9,885,22.9,,1,,0.01,38,42.4,,
2019-06-03,10,35.7,714,70.2,,0.7,,,,,,
2019-06-03,10,30.8,769,60.5,,0.6,,,,,,
2019-06-20,9,63.7,526,34.6,,0.6,,0.012,51,1074.5,,
2019-06-20,9,64.2,914,72.3,,0.6,,0.011,64,760.2,,
2019-04-17,9,38.5,928,5.5,,0.5,,,,,,
2019-04-17,9,40.1,616,7.9,,0.4,,,,,,
2019-06-17,10,55.7,287,7.7,,1.9,,,,,,
2019-06-17,10,52.5,367,14.9,,2.4,,,,,,
2019-06-12,10,45.1,725,26,,0.8,,,,,,
2019-06-12,10,37.6,693,26.9,,0.6,,,,,,
2019-10-15,15,52.2,722,86.1,,0.7,,,,,,
2019-10-15,15,61.9,647,62.6,,0.5,,,,,,
2019-03-08,9,32.4,893,32.2,,2,,0.037,20.2,55,,
