tmfc_d,tmfc_h,pm10,co2,hcho,tab,co,pm25,no2,rn,voc,pm25_2,mold
2019-03-12,10,22.9,379,1.5,,0.5,,0.02,17,50.7,,
2019-03-12,10,39,388,0.7,,0.4,,0.019,19,118.4,,
2019-04-09,9,30.8,376,1.6,,0.6,,,,,,
2019-04-09,9,15.3,384,1.8,,0.7,,,,,,
2019-04-09,9,21.9,369,3.9,,1,,,,,,
2019-04-09,9,18.5,402,2.4,,1.1,,,,,,
2019-04-08,9,45.7,362,5.4,,0.9,,,,,,
2019-04-08,9,40.3,345,3.7,,1,,,,,,
2019-03-11,9,15.3,401,1.1,,0.4,,0.03,9,10.6,,
2019-03-11,10,10.3,380,10.7,,0.3,,0.035,19,13.2,,
2019-03-11,10,33.7,373,4,,0.6,,0.031,30,26.9,,
2019-03-11,10,30.8,361,1.4,,0.7,,0.028,3,20,,
2019-04-04,9,37.5,401,2.5,,0.4,,0.039,30,88.3,,
2019-04-04,9,49,393,4.3,,0.4,,0.042,41,111.8,,
2019-03-28,9,31.7,358,11.5,,0.9,,0.031,30,28,,
2019-03-28,9,58.2,380,4.1,,1,,0.03,27,27.2,,
2019-03-25,9,43.9,407,3.9,,0.8,,0.044,25,41.7,,
2019-03-25,9,45.8,401,8.4,,0.5,,0.046,19,44.8,,
2019-03-25,9,42,396,4.2,,0.7,,0.04,25,114.1,,
2019-03-29,9,27.2,382,3.4,,1,,0.029,22,82.7,,
2019-03-29,9,39,377,3.3,,0.8,,0.028,9,123,,
2019-04-03,9,58,393,3.6,,0.6,,0.044,27,32.2,,
2019-04-03,9,45.3,396,4.2,,0.6,,0.045,27,41.5,,
2019-04-01,9,54.6,381,2.8,,0.7,,0.033,22,21,,
2019-04-01,9,46,395,3.1,,0.8,,0.036,19,53.5,,
2019-04-03,9,29.7,414,4.5,,0.7,,0.046,27,24.2,,
2019-04-03,9,36.5,389,4,,0.6,,0.039,25,31.8,,
2019-03-28,9,41.9,387,3.6,,0.9,,0.044,38,26.4,,
2019-03-28,9,54.6,385,3.5,,1,,0.04,33,17.6,,
2019-03-29,9,37.9,426,4.3,,1.1,,0.033,22,31.5,,
2019-03-29,9,41.6,409,3.4,,1.2,,0.038,65,24.7,,
2019-04-04,9,44.2,406,3.9,,0.9,,0.046,6,56.4,,
2019-04-04,9,38.9,389,5.7,,0.8,,0.048,14,43.8,,
2019-04-02,9,33.5,411,3.5,,0.3,,0.036,11,45.5,,
2019-04-02,9,44.8,392,4.5,,0.4,,0.037,14,36.1,,
2019-04-02,9,37.7,391,2.9,,0.7,,0.044,22,51,,
2019-04-02,9,39.9,378,4.8,,0.5,,0.035,11,23.1,,
2019-04-01,9,21.4,388,3,,0.6,,0.035,19,38.8,,
2019-04-01,9,23.4,390,3.3,,0.7,,0.029,22,45.1,,
2019-03-27,9,42.8,446,6.9,,1,,0.046,22,97.3,,
2019-03-27,9,37.4,382,5.3,,0.7,,0.03,25,58.4,,
2019-03-27,9,26.3,375,5.6,,1.1,,0.037,38,24.8,,
2019-03-27,9,36.1,381,5.2,,1.2,,0.029,25,35.6,,
2019-04-18,9,40.9,473,8.2,,1.5,,,,,,
2019-04-18,9,54.3,402,5.3,,1.3,,,,,,
2019-04-30,9,39.6,416,2.9,,0.7,,,,,,
2019-04-30,9,40.1,379,2,,0.3,,,,,,
2019-04-26,9,29.5,402,2.3,,0.5,,,,,,
2019-04-26,9,35.6,379,2,,0.2,,,,,,
2019-04-29,9,28.3,402,3.2,,0.8,,,,,,
2019-04-29,9,32,385,5.2,,0.7,,,,,,
2019-04-29,9,40.4,374,2.2,,0.4,,,,,,
2019-04-24,9,35.2,443,4.6,,0.8,,,,,,
2019-04-24,9,42.6,415,5,,0.5,,,,,,
2019-04-25,9,37.6,362,3.3,,0.3,,,,,,
2019-04-25,9,43.9,367,5.9,,0.2,,,,,,
2019-04-24,9,35.4,435,7,,1,,,,,,
2019-04-24,9,47.6,417,4.7,,0.9,,,,,,
2019-05-03,9,50.4,442,9.5,,1.1,,,,,,
2019-05-03,9,59.3,401,7.8,,0.9,,,,,,
2019-04-25,9,33.3,419,5.1,,0.5,,,,,,
2019-04-25,9,39.9,377,4.4,,0.3,,,,,,
2019-04-30,9,46.7,391,3.9,,0.7,,,,,,
2019-04-30,9,49.9,370,6,,0.5,,,,,,
2019-04-26,9,32.8,373,3.3,,0.3,,,,,,
2019-04-26,9,41.4,371,1.6,,0.1,,,,,,
2019-04-23,9,32.1,471,5.7,,0.9,,,,,,
2019-04-23,9,40.3,399,4.2,,0.5,,,,,,
2019-04-23,9,53.3,374,3,,0.3,,,,,,
2019-03-21,9,27.2,386,13.8,,0.8,,0.03,60,28.3,,
2019-03-21,9,27.9,370,6.9,,0.9,,0.021,22,54.8,,
2019-03-21,9,25.2,464,8.9,,1.2,,0.023,19,59.2,,
2019-03-21,9,34.8,473,8.9,,1.1,,0.02,11,83.3,,
2019-04-22,9,44.9,481,10.4,,1,,,,,,
2019-04-22,9,30.5,413,8.9,,1.1,,,,,,
2019-04-22,9,59.5,591,8,,0.8,,,,,,
2019-03-22,9,35.2,387,6.3,,0.5,,0.035,25,55.8,,
2019-03-22,9,46.3,417,5.3,,0.8,,0.04,19,52.3,,
2019-03-22,9,36.1,424,4.6,,0.6,,0.016,19,36.5,,
2019-04-19,9,30.8,467,5,,1.4,,,,,,
2019-04-19,9,52,410,5.3,,1.4,,,,,,
2019-04-19,9,69.3,428,4.2,,1.3,,,,,,
2019-05-20,7,11.7,534,2.5,,0.9,,0.026,,36.5,,
2019-05-20,7,73.6,500,4.4,,0.8,,0.031,,18.9,,
2019-05-20,7,27.8,510,1.4,,0.9,,0.029,,125.6,,
2019-05-20,7,67.6,553,3,,1.1,,0.029,,43.2,,
2019-05-20,7,63.3,527,3.3,,0.9,,0.02,,40.9,,
2019-05-20,7,87.2,544,3.7,,0.9,,0.025,,46.9,,
2019-05-17,7,86.7,493,1.2,,1,,0.025,,66,,
2019-05-17,7,32.7,482,4.2,,1,,0.026,,149.7,,
2019-05-17,7,97.4,450,2.1,,0.9,,0.022,,66.2,,
2019-05-17,7,70.6,449,1.2,,1,,0.022,,136.2,,
2019-05-27,7,98.6,453,7.9,,0.7,,,,,,
2019-05-27,7,86.6,443,3.2,,0.7,,,,,,
2019-05-28,7,24.4,435,4.5,,0.8,,,,,,
2019-05-28,7,33.4,436,3.9,,0.8,,,,,,
2019-05-27,7,71.8,451,1.3,,0.8,,,,,,
2019-05-27,7,50.5,466,1.1,,0.7,,,,,,
2019-05-24,7,24.6,461,14.8,,0.7,,0.015,46.6,29.1,,
2019-05-24,7,71.5,451,10.2,,0.7,,0.015,25.2,17.9,,
2019-05-23,7,57.4,466,6.4,,0.7,,0.019,27.8,23.9,,
2019-05-23,7,78.9,480,6.9,,0.8,,0.016,19.6,42.9,,
2019-05-24,7,66.1,442,14.9,,0.7,,0.024,32.9,15.4,,
2019-05-24,7,50.7,422,14.4,,0.8,,0.024,46.6,4.4,,
2019-05-23,7,67.8,437,6.2,,0.7,,0.015,27.8,31.1,,
2019-05-23,7,22.8,455,4.6,,0.7,,0.013,38.5,25.3,,
2019-05-29,7,51.1,539,5.9,,0.7,,,,,,
2019-05-29,7,34.8,432,7,,0.6,,,,,,
2019-05-30,7,35.1,446,4.8,,0.9,,,,,,
2019-05-30,7,23.2,464,9.2,,0.8,,,,,,
2019-05-31,7,18.9,463,14.2,,0.6,,,,,,
2019-05-31,7,35.6,458,14.2,,0.7,,,,,,
2019-05-30,7,66.2,436,5.6,,0.9,,,,,,
2019-05-30,7,35.4,455,4.9,,1,,,,,,
2019-05-28,7,14.4,452,6,,0.8,,,,,,
2019-05-28,7,53.7,501,5.5,,0.8,,,,,,
2019-05-31,7,26.7,421,9.8,,0.8,,,,,,
2019-05-31,7,11.2,480,8.4,,0.8,,,,,,
2019-05-29,7,42.9,411,7.5,,0.8,,,,,,
2019-05-29,7,24.5,400,6.9,,0.7,,,,,,
2019-05-22,7,76.4,465,3.8,,0.7,,0.016,,27.9,,
2019-05-22,7,98.5,451,2.5,,0.9,,0.018,,2.3,,
2019-05-22,7,34.5,485,3.3,,0.8,,0.016,,40,,
2019-05-22,7,64.1,453,6.7,,0.8,,0.019,,20.8,,
2019-05-22,7,47.4,472,5.7,,0.9,,0.021,,33,,
2019-05-21,7,30.2,448,2.8,,0.8,,0.019,,41.4,,
2019-05-21,7,106.4,477,2.4,,0.9,,0.024,,55.4,,
2019-05-21,7,39.4,444,5.5,,0.8,,0.018,76.2,70.4,,
2019-05-21,7,98.4,450,1.1,,0.9,,0.023,84.4,26.5,,
2019-05-30,7,47.6,367,6.6,,0.6,,0.031,15.8,18.3,,
2019-05-30,7,37.8,371,5.2,,0.5,,0.028,8.2,34.3,,
2019-05-02,7,25.1,346,11.3,,1,,0.032,12.6,69.6,,
2019-05-02,7,28.6,348,26.4,,0.8,,0.036,9.5,133.4,,
2019-04-18,7,49.6,369,10.6,,1.4,,0.027,17.8,33.9,,
2019-04-18,7,54.1,380,15.2,,1.4,,0.029,13,35.4,,
2019-05-02,7,23,398,12.5,,0.9,,0.029,17,63.1,,
2019-05-02,7,28.9,359,11.1,,1,,0.023,11.6,232.7,,
2019-05-30,7,36.9,342,8.7,,0.5,,0.029,9.2,91.9,,
2019-05-30,7,40,366,4.4,,0.5,,0.029,9.8,99.8,,
2019-05-08,14,51,444,4.2,,0.7,,0.038,9.7,41.2,,
2019-05-08,14,40.2,485,5.2,,0.5,,0.043,14.4,54,,
2019-04-11,7,51,412,4.2,,0.8,,0.035,11.5,34.7,,
2019-04-11,7,48.5,388,9.2,,0.7,,0.031,8.1,61.1,,
2019-05-08,7,54,434,5,,0.6,,0.04,9.5,24.4,,
2019-05-08,7,39.8,419,5.9,,0.9,,0.039,7.1,34.4,,
2019-05-08,7,41.2,415,6.9,,0.9,,0.039,9.6,43.6,,
2019-05-08,7,54.4,399,7,,1,,0.041,10.9,43.4,,
2019-04-11,7,46.4,409,3.5,,0.6,,0.021,13.1,43,,
2019-04-11,7,53.7,428,6.9,,0.7,,0.022,10.5,35.6,,
2019-05-08,7,40.4,396,7.9,,1.1,,0.042,13.3,57,,
2019-05-08,7,50.1,406,8.4,,0.8,,0.039,11.5,66.4,,
2019-05-16,7,57.3,409,6,,0.8,,0.029,9.7,52.5,,
2019-05-16,7,54.9,394,7.2,,0.8,,0.026,12.8,44.5,,
2019-05-17,7,58.3,495,8.9,,0.6,,0.015,6.9,91.8,,
2019-05-17,7,48,458,5.7,,0.8,,0.012,11.1,80.4,,
2019-05-16,14,56.5,397,2,,1.1,,0.029,7.4,40.9,,
2019-05-16,14,43,403,1.5,,1,,0.032,11.6,46.9,,
2019-05-16,14,45.3,395,4.6,,0.6,,0.035,12.9,12.8,,
