tmfc_d,tmfc_h,pm10,co2,hcho,tab,co,pm25,no2,rn,voc,pm25_2,mold
2019-05-23,10,89.1,624,19.6,,1.7,,0.045,24.7,984.8,,
2019-03-06,10,74.7,585,20.7,,0.8,,,,,,
2019-03-06,10,72.6,562,13.9,,0.9,,,,,,
2019-05-23,9,92.5,588,29.3,,0.8,,0.033,24.7,901.8,,
2019-05-23,9,79.4,563,21.8,,0.6,,0.034,26.5,675.4,,
2019-05-20,9,91.6,542,20,,3.4,,0.12,14,175.7,,
2019-05-20,9,98.1,670,16.7,,2.6,,0.13,73.2,274.7,,
2019-03-14,8,74.1,567,9.1,,1.8,,0.029,13,153.7,,
2019-03-14,8,83.4,583,7.9,,1.9,,0.028,23,122,,
2019-05-31,8,67.4,573,12.6,,2.4,,0.02,114.7,271.8,,
2019-05-31,8,70.2,521,18.4,,2.8,,0.022,98.1,992,,
2019-06-20,9,78.1,659,18.9,,3.1,,,,,,
2019-06-20,9,76.2,723,25.5,,3.6,,,,,,
2019-06-20,9,78.9,632,22.9,,2.7,,,,,,
2019-06-21,10,72.1,559,9,,2.6,,0.058,65.6,594,,
2019-06-21,10,71.3,538,18.4,,3,,0.067,39.6,478.2,,
2019-05-27,10,86.5,624,18.5,,2.1,,0.026,47,548.9,,
2019-05-27,10,75,638,14.3,,2.6,,0.024,55,729.4,,
2019-09-30,16,69.5,891,39,,5.8,,,,,,
2019-09-30,16,80.9,796,33.3,,8.8,,,,,,
2019-05-16,10,76.1,671,16.3,,4.1,,0.054,38,1121.2,,
2019-05-16,10,71.1,685,16.6,,5.5,,0.059,25,935.7,,
2019-05-16,10,81.7,639,15.9,,5.9,,0.054,15,910.1,,
2019-03-25,10,90.4,486,12.6,,4.1,,0.023,8.4,61.7,,
2019-03-25,12,95.7,558,14.8,,4.9,,0.052,8.5,114.1,,
2019-03-25,12,96.6,495,5.7,,3.2,,0.028,11.6,16.4,,
2019-03-25,14,31.4,497,4.1,,3.8,,0.033,9.3,71.2,,
2019-06-28,9,78.2,773,24.7,,3.5,,0.036,40,161.5,,
2019-06-28,9,72.1,766,23.4,,3.8,,0.032,17,157.9,,
2019-05-27,8,73.6,526,22.9,,3.3,,,,,,
2019-05-27,8,86.7,531,17.3,,3.1,,,,,,
2019-05-27,8,91.3,492,26.7,,2.5,,,,,,
2019-04-19,11,74.3,655,11.8,,2.2,,0.03,23.7,493.3,,
2019-04-19,11,78.9,718,24.1,,1.6,,0.026,25.2,691.1,,
2019-03-05,10,60.7,606,20.2,,4.4,,0.048,39.2,110,,
2019-03-05,10,67.8,640,20.8,,4.2,,0.045,44.5,94,,
2019-05-27,10,89.7,630,19,,2.4,,,,,,
2019-05-27,10,91.8,587,19.6,,1.8,,,,,,
2019-06-07,11,73.1,484,15.1,,2.8,,0.025,29,151.9,,
2019-06-07,10,70.9,540,9.9,,2.2,,0.022,37,135.2,,
