serno,tmfc,tmfc_d,ID,tmfc_h,pm10,pm25,pm1,humi,temp,hcho,co,no2,rn,voc,co2,tab
AMI242210004,2.0221E+13,20221013,190,3,6.6,4.6,4.4,36.2,22.9,165.59,1.16,0,1.2,0,544,0
AMI242210004,2.0221E+13,20221013,191,3,7.2,4.8,4.6,36.2,22.8,164.98,1.15,0,1.2,0,540,0
AMI242210004,2.0221E+13,20221013,192,3,6.5,4.9,4.7,36.2,22.8,164.57,1.15,0,1.2,0,539,0
AMI242210004,2.0221E+13,20221013,193,3,6.8,4.9,4.7,36.1,22.8,164.57,1.15,0,1.2,0,538,0
AMI242210004,2.0221E+13,20221013,194,3,6.8,4.9,4.7,36.1,22.9,164.58,1.15,0,1.2,0,538,0
AMI242210004,2.0221E+13,20221013,195,3,6.8,4.8,4.6,36.1,22.8,164.56,1.15,0,1.2,0,537,0
AMI242210004,2.0221E+13,20221013,196,3,8.2,5.1,4.8,36.1,22.8,164.58,1.15,0,1.2,0,537,0
AMI242210004,2.0221E+13,20221013,197,3,6.9,4.6,4.4,36.2,22.9,164.58,1.14,0,1.2,0,536,0
AMI242210004,2.0221E+13,20221013,198,3,7.4,5.1,4.8,36.1,22.9,164.58,1.14,0,1.5,0,536,0
AMI242210004,2.0221E+13,20221013,199,3,7.1,5,4.7,36.3,22.9,164.58,1.14,0,1.5,0,536,0
AMI242210004,2.0221E+13,20221013,200,3,8.4,5.2,4.9,36.3,22.9,164.58,1.13,0,1.5,0,536,0
AMI242210004,2.0221E+13,20221013,201,3,6.9,4.6,4.4,36.2,22.9,164.59,1.14,0,1.5,0,536,0
AMI242210004,2.0221E+13,20221013,202,3,7.3,4.7,4.5,36.2,22.9,164.59,1.13,0,1.5,0,537,0
AMI242210004,2.0221E+13,20221013,203,3,7.3,5.1,4.8,36.3,22.8,164.58,1.13,0,1.5,0,537,0
AMI242210004,2.0221E+13,20221013,204,3,6.9,4.8,4.6,36.3,22.8,164.59,1.13,0,1.5,0,538,0
AMI242210004,2.0221E+13,20221013,205,3,7.3,4.6,4.4,36.2,22.9,164.59,1.13,0,1.5,0,539,0
AMI242210004,2.0221E+13,20221013,206,3,6.9,4.7,4.5,36.4,22.8,165,1.14,0,1.5,0,538,0
AMI242210004,2.0221E+13,20221013,207,3,6.8,5.3,5,36.2,22.8,164.59,1.12,0,1.5,0,538,0
AMI242210004,2.0221E+13,20221013,208,3,6.7,4.7,4.5,36.3,22.8,164.6,1.13,0,1.5,0,537,0
AMI242210004,2.0221E+13,20221013,209,3,6.7,4.8,4.6,36.3,22.9,164.59,1.13,0,1.5,0,537,0
AMI242210004,2.0221E+13,20221013,210,3,7.1,4.8,4.6,36.3,23,164.59,1.12,0,1.5,0,536,0
AMI242210004,2.0221E+13,20221013,211,3,7.1,4.9,4.7,36.1,22.7,164.59,1.12,0,1.5,0,534,0
AMI242210004,2.0221E+13,20221013,212,3,6.6,4.7,4.5,36.2,22.8,164.6,1.11,0,1.5,0,533,0
AMI242210004,2.0221E+13,20221013,213,3,6.5,4.5,4.3,36.3,22.9,164.6,1.12,0,1.5,0,533,0
AMI242210004,2.0221E+13,20221013,214,3,7.4,4.4,4.2,36.3,22.9,164.6,1.12,0,1.5,0,532,0
AMI242210004,2.0221E+13,20221013,215,3,7.1,4.8,4.6,36.2,22.8,164.59,1.11,0,1.5,0,531,0
AMI242210004,2.0221E+13,20221013,216,3,7.1,4.8,4.6,36.3,22.8,164.59,1.11,0,1.5,0,531,0
AMI242210004,2.0221E+13,20221013,217,3,7.2,4.5,4.3,36.3,22.9,164.6,1.11,0,1.1,0,531,0
AMI242210004,2.0221E+13,20221013,218,3,7.2,4.5,4.3,36.3,22.8,164.59,1.1,0,1.1,0,530,0
AMI242210004,2.0221E+13,20221013,219,3,6.9,4.6,4.4,36.3,22.8,164.59,1.12,0,1.1,0,530,0
AMI242210004,2.0221E+13,20221013,220,3,6.9,4.6,4.4,36.3,22.8,164.59,1.1,0,1.1,0,530,0
AMI242210004,2.0221E+13,20221013,221,3,7.2,4.7,4.5,36.3,22.8,164.59,1.11,0,1.1,0,529,0
