pm10,pm25,pm1,humi,temp,hcho,co,no2,rn,voc,co2
6,4.3,4.1,36.7,22.7,164.24,0.94,0,1.1,0,494
6.9,4.7,4.5,36.7,22.7,164.65,0.94,0,1.1,0,493
6.5,4.4,4.2,36.7,22.7,163.83,0.93,0,1.1,0,493
6.5,4.4,4.2,36.7,22.7,164.65,0.93,0,1.1,0,492
6.1,4.5,4.3,36.8,22.7,164.65,0.94,0,1.1,0,493
6.1,4.5,4.3,36.7,22.7,164.04,0.93,0,1.1,0,493
6.1,4.5,4.3,36.8,22.7,164.45,0.93,0,1.1,0,493
6.2,4.1,3.9,36.6,22.6,164.04,0.93,0,1.1,0,492
5.9,4.3,4.1,36.8,22.7,164.45,0.93,0,1.1,0,493
5.9,4.3,4.1,36.7,22.8,163.84,0.92,0,1.1,0,493
5.8,4.2,4,36.6,22.6,164.65,0.93,0,1.1,0,493
6.3,4.2,4,36.6,22.7,164.45,0.93,0,1.1,0,492
6.7,4.1,3.9,36.7,22.8,163.24,0.92,0,1.1,0,492
5.7,3.9,3.7,36.8,22.7,162.42,0.92,0,1.1,0,491
5.7,3.9,3.7,36.8,22.8,164.66,0.92,0,1.1,0,491
6.2,4,3.8,36.6,22.7,163.24,0.92,0,1.1,0,492
6,4.1,3.9,36.7,22.8,164.25,0.92,0,1.1,0,492
5.9,4.1,3.9,36.6,22.7,162.43,0.92,0,1.1,0,492
6.3,4.4,4.2,36.7,22.7,162.22,0.92,0,1.1,0,491
5.9,4,3.8,36.8,22.7,162.22,0.91,0,1.1,0,491
6.9,4.4,4.2,36.7,22.7,162.62,0.91,0,1.1,0,491
6,4,3.8,36.8,22.7,164.05,0.91,0,1.1,0,491
6,4,3.8,36.7,22.7,164.25,0.91,0,1.1,0,491
6.6,4.1,3.9,36.8,22.7,164.46,0.91,0,1.1,0,491
6.7,4.4,4.2,36.7,22.7,164.05,0.91,0,1.1,0,491
6.7,4.4,4.2,36.8,22.7,164.66,0.92,0,1.1,0,491
6,4.1,3.9,36.7,22.7,164.26,0.92,0,1.1,0,491
6.2,4,3.8,36.8,22.7,163.64,0.9,0,1.2,0,490
6,4.1,3.9,36.7,22.7,163.02,0.91,0,1.2,0,490
5.5,3.8,3.6,36.7,22.7,163.63,0.91,0,1.2,0,489
6,4,3.8,36.9,22.7,164.04,0.91,0,1.2,0,487
6.2,4.1,3.9,36.8,22.7,163.84,0.9,0,1.2,0,487
6.2,4.1,3.9,36.9,22.7,163.22,0.9,0,1.2,0,487
