tmfc_d,tmfc_h,pm10,co2,hcho,tab,co,pm25,no2,rn,voc,pm25_2,mold
20191105,8,20,692,25.7,788,0.7,11.1,,,,,
20190902,10,43.3,572,18.8,574.3,1.7,30.8,0.011,45.9,217.5,,410.2
20190902,10,47.4,595,40.1,592.9,1.9,28.4,0.011,39.3,155.3,,449.8
20191025,9,17.6,573,13,317,0.5,12.3,0.01,134.4,72.5,,212
20191025,10,18.6,522,19.4,245,0.5,12.6,0.011,92.6,57,,354
20191220,16,15.3,780,15.2,729,1,7,0.011,37.3,73.5,,109
20191220,16,16.4,801,11.1,520,1,11.8,0.031,39.6,72.2,,60
20191120,9,27.5,751,5.8,495,1.6,9.3,,,,,
20191120,9,32.2,670,10.6,744,1.9,9.6,,,,,
20191021,9,31,667,20.2,744,1.1,17.4,,,,,
20191021,9,32.9,729,66.9,716,1.3,24.3,,,,,
20191025,9,26,525,14.5,655,2.1,9,,,,,
20191025,9,19.6,584,8.9,563,2.3,9.3,,,,,
20191217,12,49.5,664,7.1,428.6,2.3,28.8,0.015,17.8,186.4,,455
20191217,12,47.7,724,10.3,655.3,2,29.6,0.015,18,188,,469.9
20191007,13,34.4,751,7.6,247,0.2,25.8,,,,,
20191007,13,27.9,690,15.8,444,0.3,22.1,,,,,
20190923,10,,,0,,,14.6,0.023,27.4,0,,120
20190923,10,,,0,,,15,0.021,31.5,0,,70
20191108,9,13.9,808,31.6,223,1.6,5.1,0.036,33,153.3,,145
20191108,9,26.5,779,28.2,193,1.7,11,0.037,44.7,149.6,,100
20191211,10,52.6,432,11.6,429,1.4,16,,,,,
20191211,10,56.5,577,18,430,1.5,17.9,,,,,
20190820,11,47.4,618,65.9,700,1.1,13.8,,,,,
20190820,11,59.4,847,50.5,732,1.3,18.3,,,,,
20191029,10,64.5,639,16.2,554,1.2,25.7,,,,,
20191029,11,62.2,824,25.8,700,1,17.1,,,,,
20191017,10,54.9,676,20,698,0.8,18,,,,,
20191017,10,51.3,503,46,616,0.3,13.5,,,,,
20190919,9,53.2,635,11.9,626,1.7,12.5,0.013,20.7,23.1,,266
20190919,9,58.2,622,12.8,702,2,13.1,0.017,10.6,73.6,,246
20191105,10,64,726,12.2,780,0.6,25,,,,,
20191105,10,56.9,707,21,671,0.8,15,,,,,
20190919,10,55.4,626,26.8,750,2.2,17.2,0.013,50.2,126.6,,323
20190919,10,61.4,735,29.1,695,1.7,18,0.01,49,115.6,,257
20191210,10,60.7,828,23.6,710,0.7,21.2,,,,,
20191210,10,56.5,630,26,624,0.6,19.6,,,,,
20190904,10,57.5,630,24.2,671,0.7,13.2,,,,,
20190904,10,55.3,819,30.3,657,1.2,15,,,,,
20191226,15,53.4,811,10.3,151,0.9,32,0.006,36.9,36.6,,103
20191226,15,31.1,824,17.2,130,1.1,12.2,0.005,35.2,114.8,,72
20190805,10,58.2,623,76.2,686.2,1.3,32.7,0.023,16.3,264,,489.2
20190805,10,55.1,857,78.7,783.1,1.4,28.8,0.021,17.5,204.2,,492.8
20191001,10,53.7,792,76.6,636,1,14.1,,,,,
20191001,10,51,823,73.9,731,0.6,12.9,,,,,
20191227,16,35.3,839,13.5,282,0.7,8.9,,,,,
20191227,16,35,836,7.8,320.7,0.9,6.8,,,,,
20191105,10,32.7,708,12.9,568,1.5,17.6,,,,,
20191105,10,33.5,683,12,599,1.5,30.7,,,,,
